Movie Name,Movie Stars
Don't Breathe (2016) ,Stephen Lang
Don't Breathe (2016) ,Jane Levy
Don't Breathe (2016) ,Dylan Minnette
Sing Street (2016) ,Ferdia Walsh-Peelo
Sing Street (2016) ,Aidan Gillen
Sing Street (2016) ,Maria Doyle Kennedy
Doctor Strange (2016) ,Benedict Cumberbatch
Doctor Strange (2016) ,Chiwetel Ejiofor
Doctor Strange (2016) ,Rachel McAdams
The Conjuring 2 (2016) ,Vera Farmiga
The Conjuring 2 (2016) ,Patrick Wilson
The Conjuring 2 (2016) ,Madison Wolfe
The Distinguished Citizen (2016) ,Oscar Martínez
The Distinguished Citizen (2016) ,Dady Brieva
The Distinguished Citizen (2016) ,Andrea Frigerio
Your Name. (2016) ,Ryûnosuke Kamiki
Your Name. (2016) ,Mone Kamishiraishi
Your Name. (2016) ,Ryô Narita
Maudie (2016) ,Sally Hawkins
Maudie (2016) ,Ethan Hawke
Maudie (2016) ,Kari Matchett
Miss Peregrine's Home for Peculiar Children (2016) ,Eva Green
Miss Peregrine's Home for Peculiar Children (2016) ,Asa Butterfield
Miss Peregrine's Home for Peculiar Children (2016) ,Samuel L. Jackson
Eddie the Eagle (2015) ,Taron Egerton
Eddie the Eagle (2015) ,Hugh Jackman
Eddie the Eagle (2015) ,Tom Costello
Elle (2016) ,Isabelle Huppert
Elle (2016) ,Laurent Lafitte
Elle (2016) ,Anne Consigny
Julieta (2016) ,Emma Suárez
Julieta (2016) ,Adriana Ugarte
Julieta (2016) ,Daniel Grao
Manchester by the Sea (2016) ,Casey Affleck
Manchester by the Sea (2016) ,Michelle Williams
Manchester by the Sea (2016) ,Kyle Chandler
Dangal (2016) ,Aamir Khan
Dangal (2016) ,Sakshi Tanwar
Dangal (2016) ,Fatima Sana Shaikh
10 Cloverfield Lane (2016) ,John Goodman
10 Cloverfield Lane (2016) ,Mary Elizabeth Winstead
10 Cloverfield Lane (2016) ,John Gallagher Jr.
Hidden Figures (2016) ,Taraji P. Henson
Hidden Figures (2016) ,Octavia Spencer
Hidden Figures (2016) ,Janelle Monáe
Florence Foster Jenkins (2016) ,Meryl Streep
Florence Foster Jenkins (2016) ,Hugh Grant
Florence Foster Jenkins (2016) ,Simon Helberg
The Invisible Guest (2016) ,Mario Casas
The Invisible Guest (2016) ,Ana Wagener
The Invisible Guest (2016) ,Jose Coronado
I'm Gilda (2016) ,Natalia Oreiro
I'm Gilda (2016) ,Lautaro Delgado
I'm Gilda (2016) ,Javier Drolas
Deepwater Horizon (2016) ,Mark Wahlberg
Deepwater Horizon (2016) ,Kurt Russell
Deepwater Horizon (2016) ,Douglas M. Griffin
The Edge of Seventeen (2016) ,Hailee Steinfeld
The Edge of Seventeen (2016) ,Haley Lu Richardson
The Edge of Seventeen (2016) ,Blake Jenner
The Magnificent Seven (2016) ,Denzel Washington
The Magnificent Seven (2016) ,Chris Pratt
The Magnificent Seven (2016) ,Ethan Hawke
The Shallows (2016) ,Blake Lively
The Shallows (2016) ,Óscar Jaenada
The Shallows (2016) ,Angelo Josue Lozano Corzo
X-Men: Apocalypse (2016) ,James McAvoy
X-Men: Apocalypse (2016) ,Michael Fassbender
X-Men: Apocalypse (2016) ,Jennifer Lawrence
Hush (2016) ,John Gallagher Jr.
Hush (2016) ,Kate Siegel
Hush (2016) ,Michael Trucco
Captain America: Civil War (2016) ,Chris Evans
Captain America: Civil War (2016) ,Robert Downey Jr.
Captain America: Civil War (2016) ,Scarlett Johansson
¿Qué culpa tiene el niño? (2016) ,Karla Souza
¿Qué culpa tiene el niño? (2016) ,Ricardo Abarca
¿Qué culpa tiene el niño? (2016) ,Biassini Segura
War Dogs (2016) ,Jonah Hill
War Dogs (2016) ,Miles Teller
War Dogs (2016) ,Steve Lantz
A Monster Calls (2016) ,Lewis MacDougall
A Monster Calls (2016) ,Sigourney Weaver
A Monster Calls (2016) ,Felicity Jones
"I, Daniel Blake (2016) ",Dave Johns
"I, Daniel Blake (2016) ",Hayley Squires
"I, Daniel Blake (2016) ",Sharon Percy
Lights Out (2016) ,Teresa Palmer
Lights Out (2016) ,Gabriel Bateman
Lights Out (2016) ,Maria Bello
The Innocents (2016) ,Lou de Laâge
The Innocents (2016) ,Agata Buzek
The Innocents (2016) ,Agata Kulesza
Rogue One: A Star Wars Story (2016) ,Felicity Jones
Rogue One: A Star Wars Story (2016) ,Diego Luna
Rogue One: A Star Wars Story (2016) ,Alan Tudyk
13 Hours (2016) ,John Krasinski
13 Hours (2016) ,Pablo Schreiber
13 Hours (2016) ,James Badge Dale
Fantastic Beasts and Where to Find Them (2016) ,Eddie Redmayne
Fantastic Beasts and Where to Find Them (2016) ,Katherine Waterston
Fantastic Beasts and Where to Find Them (2016) ,Alison Sudol
The Autopsy of Jane Doe (2016) ,Brian Cox
The Autopsy of Jane Doe (2016) ,Emile Hirsch
The Autopsy of Jane Doe (2016) ,Ophelia Lovibond
American Honey (2016) ,Sasha Lane
American Honey (2016) ,Shia LaBeouf
American Honey (2016) ,Riley Keough
The Founder (2016) ,Michael Keaton
The Founder (2016) ,Nick Offerman
The Founder (2016) ,John Carroll Lynch
